id,label
936,14
937,11
938,10
939,17
940,11
941,13
942,0
943,6
944,16
945,1
946,6
947,4
948,14
949,6
950,16
951,3
952,5
953,7
954,11
955,8
956,13
957,4
958,3
959,18
960,8
961,18
962,9
963,15
964,19
965,13
966,12
967,3
968,12
969,8
970,15
971,10
